track_name,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode,playlist_name,playlist_img,album_img,category
Please Don't Go,Stevie Wonder,Fulfillingness' First Finale,0.495,0.681,G,-10.512,major,0.0804,0.514,0,0.26,0.684,93.773,3Y4tjjebbyEJ1409eCBlJ9,247240,4,G major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/3af06ceb41722d5a2c0aa90c7a01657cfac44460,_albumoftheyear
Still Crazy After All These Years,Paul Simon,Still Crazy After All These Years,0.267,0.252,G,-11.687,major,0.0351,0.8,4.43e-5,0.089,0.13,37.114,3gIBSlXYIN1mru35l4LWPB,206533,4,G major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/db74af60bd5d271e8853d9c38ae58fd7e7d28482,_albumoftheyear
My Little Town,Simon & Garfunkel,Still Crazy After All These Years,0.665,0.535,D,-7.766,major,0.0308,0.468,0.00156,0.0819,0.429,122.126,3obrfotpr4kLCKiOu2GZ4Q,231947,4,D major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/db74af60bd5d271e8853d9c38ae58fd7e7d28482,_albumoftheyear
I'd Do It for Your Love,Paul Simon,Still Crazy After All These Years,0.483,0.349,B,-13.138,minor,0.0317,0.832,0.00211,0.0974,0.179,76.941,39REtYE2JZXm9Bmo8JJrrV,215200,4,B minor,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/db74af60bd5d271e8853d9c38ae58fd7e7d28482,_albumoftheyear
50 Ways to Leave Your Lover,Paul Simon,Still Crazy After All These Years,0.815,0.372,G,-12.814,major,0.0752,0.166,1.16e-4,0.0767,0.293,101.684,6Qb7gtV6Q4MnUjSbkFcopl,217347,4,G major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/db74af60bd5d271e8853d9c38ae58fd7e7d28482,_albumoftheyear
Night Game,Paul Simon,Still Crazy After All These Years,0.478,0.0408,D,-22.193,major,0.0343,0.959,0.0326,0.111,0.158,108.029,7kzZwlkzIjVTgH9gbzsqe4,177640,1,D major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/db74af60bd5d271e8853d9c38ae58fd7e7d28482,_albumoftheyear
Gone at Last,Paul Simon,Still Crazy After All These Years,0.62,0.78,C,-9.554,major,0.0379,0.103,2.3e-4,0.047,0.939,142.414,5oROkcna6Wods0AJXmRzS0,220947,4,C major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/db74af60bd5d271e8853d9c38ae58fd7e7d28482,_albumoftheyear
Some Folks' Lives Roll Easy,Paul Simon,Still Crazy After All These Years,0.46,0.215,A,-13.465,major,0.0302,0.838,2e-6,0.32,0.0848,110.384,5KdKLwyLupG1a71ZqcguzT,194400,3,A major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/db74af60bd5d271e8853d9c38ae58fd7e7d28482,_albumoftheyear
Have a Good Time,Paul Simon,Still Crazy After All These Years,0.667,0.375,F,-11.38,minor,0.0342,0.689,1.1e-5,0.0782,0.663,104.778,2fX61zkOZTolmDwof4J5ZS,206467,1,F minor,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/db74af60bd5d271e8853d9c38ae58fd7e7d28482,_albumoftheyear
You're Kind,Paul Simon,Still Crazy After All These Years,0.838,0.219,E,-18.26,major,0.037,0.711,0.00743,0.0656,0.704,113.956,5Kl5ayS12tCTGNNFYj1WMa,200147,4,E major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/db74af60bd5d271e8853d9c38ae58fd7e7d28482,_albumoftheyear
