objectid,objectid_1,input_fid,near_fid,distance,distmet,distmiles,from_county,fromschoolnum,fromschool,fromlat,fromlon,tocounty,toschoolnum,toschoolname,tolat,tolon,tsid,fsid,tcoid,fcoid,copairid
476810,476810,951,291,.43129182,47933.344,29.784389,LAKE,421,RIMES EARLY LEARN & LITERACY,28.825911,-81.91909,CITRUS,21,PLEASANT GROVE ELEMENTARY SCHL,28.824093,-82.35038,326,790,9,32,88
503272,503272,1033,284,.39841244,44279.16,27.513784,LEVY,231,WILLISTON ELEMENTARY SCHOOL,29.376045,-82.446136,CITRUS,181,CITRUS SPRINGS ELEMENTARY SCHOOL,28.980583,-82.494537,319,869,9,35,89
139445,139445,284,1033,.39841244,44279.16,27.513784,CITRUS,181,CITRUS SPRINGS ELEMENTARY SCHOOL,28.980583,-82.494537,LEVY,231,WILLISTON ELEMENTARY SCHOOL,29.376045,-82.446136,871,326,35,9,89
138648,138648,283,1033,.40210271,44689.293,27.768631,CITRUS,35,CENTRAL RIDGE ELEMENTARY SCHOOL,28.974022,-82.438232,LEVY,231,WILLISTON ELEMENTARY SCHOOL,29.376045,-82.446136,871,321,35,9,89
139446,139446,284,1032,.40767363,45308.438,28.153351,CITRUS,181,CITRUS SPRINGS ELEMENTARY SCHOOL,28.980583,-82.494537,LEVY,92,JOYCE M. BULLOCK ELEM. SCHOOL,29.38599,-82.451599,870,326,35,9,89
141017,141017,286,1033,.4712486,52374.098,32.543743,CITRUS,25,FOREST RIDGE ELEMENTARY SCHOOL,28.9048,-82.444298,LEVY,231,WILLISTON ELEMENTARY SCHOOL,29.376045,-82.446136,871,319,35,9,89
138591,138591,283,1080,.1017482,11308.193,7.0265832,CITRUS,35,CENTRAL RIDGE ELEMENTARY SCHOOL,28.974022,-82.438232,MARION,641,DUNNELLON ELEMENTARY SCHOOL,29.073784,-82.418236,918,321,38,9,90
139398,139398,284,1080,.12045077,13386.778,8.3181553,CITRUS,181,CITRUS SPRINGS ELEMENTARY SCHOOL,28.980583,-82.494537,MARION,641,DUNNELLON ELEMENTARY SCHOOL,29.073784,-82.418236,918,326,38,9,90
140964,140964,286,1080,.17098171,19002.736,11.807749,CITRUS,25,FOREST RIDGE ELEMENTARY SCHOOL,28.9048,-82.444298,MARION,641,DUNNELLON ELEMENTARY SCHOOL,29.073784,-82.418236,918,319,38,9,90
545864,545864,1098,284,.17735013,19710.516,12.247543,MARION,621,ROMEO ELEMENTARY SCHOOL,29.151375,-82.446754,CITRUS,181,CITRUS SPRINGS ELEMENTARY SCHOOL,28.980583,-82.494537,319,935,9,38,90
138590,138590,283,1098,.17755833,19733.656,12.261922,CITRUS,35,CENTRAL RIDGE ELEMENTARY SCHOOL,28.974022,-82.438232,MARION,621,ROMEO ELEMENTARY SCHOOL,29.151375,-82.446754,936,321,38,9,90
668352,668352,1285,289,.74235493,82504.586,51.265957,ORANGE,461,ZELLWOOD ELEMENTARY,28.735418,-81.601341,CITRUS,32,INVERNESS PRIMARY SCHOOL,28.833254,-82.337219,324,1222,9,44,91
143323,143323,289,1285,.74235493,82504.586,51.265957,CITRUS,32,INVERNESS PRIMARY SCHOOL,28.833254,-82.337219,ORANGE,461,ZELLWOOD ELEMENTARY,28.735418,-81.601341,1316,320,44,9,91
144932,144932,291,1285,.75426942,83828.75,52.088753,CITRUS,21,PLEASANT GROVE ELEMENTARY SCHL,28.824093,-82.35038,ORANGE,461,ZELLWOOD ELEMENTARY,28.735418,-81.601341,1316,318,44,9,91
668350,668350,1285,291,.75426942,83828.75,52.088753,ORANGE,461,ZELLWOOD ELEMENTARY,28.735418,-81.601341,CITRUS,21,PLEASANT GROVE ELEMENTARY SCHL,28.824093,-82.35038,326,1222,9,44,91
143179,143179,289,1266,.78026015,86717.336,53.883636,CITRUS,32,INVERNESS PRIMARY SCHOOL,28.833254,-82.337219,ORANGE,361,TILDENVILLE ELEMENTARY,28.557756,-81.607216,1297,320,44,9,91
142387,142387,288,1462,.36813137,40913.754,25.422619,CITRUS,71,HOMOSASSA ELEMENTARY SCHOOL,28.782387,-82.61483,PASCO,121,SHADY HILLS ELEMENTARY SCHOOL,28.420065,-82.54969,1493,322,47,9,92
143973,143973,290,1462,.40263712,44748.688,27.805536,CITRUS,161,LECANTO PRIMARY SCHOOL,28.819115,-82.496063,PASCO,121,SHADY HILLS ELEMENTARY SCHOOL,28.420065,-82.54969,1493,324,47,9,92
144766,144766,291,1441,.40605471,45128.512,28.04155,CITRUS,21,PLEASANT GROVE ELEMENTARY SCHL,28.824093,-82.35038,PASCO,321,LACOOCHEE ELEMENTARY SCHOOL,28.458279,-82.174141,1472,318,47,9,92
765956,765956,1441,291,.40605471,45128.512,28.04155,PASCO,321,LACOOCHEE ELEMENTARY SCHOOL,28.458279,-82.174141,CITRUS,21,PLEASANT GROVE ELEMENTARY SCHL,28.824093,-82.35038,326,1483,9,47,92
765958,765958,1441,289,.408903,45445.07,28.238249,PASCO,321,LACOOCHEE ELEMENTARY SCHOOL,28.458279,-82.174141,CITRUS,32,INVERNESS PRIMARY SCHOOL,28.833254,-82.337219,324,1483,9,47,92
830829,830829,1543,288,.64500707,71685.438,44.543251,PINELLAS,4491,TARPON SPRINGS ELEMENTARY SCHOOL,28.151651,-82.749763,CITRUS,71,HOMOSASSA ELEMENTARY SCHOOL,28.782387,-82.61483,323,1565,9,48,93
142274,142274,288,1543,.64500707,71685.438,44.543251,CITRUS,71,HOMOSASSA ELEMENTARY SCHOOL,28.782387,-82.61483,PINELLAS,4491,TARPON SPRINGS ELEMENTARY SCHOOL,28.151651,-82.749763,1574,322,48,9,93
142277,142277,288,1482,.65150446,72407.555,44.991955,CITRUS,71,HOMOSASSA ELEMENTARY SCHOOL,28.782387,-82.61483,PINELLAS,441,BROOKER CREEK ELEMENTARY SCHL,28.135756,-82.694374,1513,322,48,9,93
794733,794733,1482,288,.65150446,72407.555,44.991955,PINELLAS,441,BROOKER CREEK ELEMENTARY SCHL,28.135756,-82.694374,CITRUS,71,HOMOSASSA ELEMENTARY SCHOOL,28.782387,-82.61483,323,1513,9,48,93
831463,831463,1544,288,.6581533,73146.5,45.451115,PINELLAS,4661,TARPON SPRINGS FUNDAMENTAL ELE,28.138557,-82.751396,CITRUS,71,HOMOSASSA ELEMENTARY SCHOOL,28.782387,-82.61483,323,1567,9,48,93
144692,144692,291,1615,.73449111,81630.609,50.722893,CITRUS,21,PLEASANT GROVE ELEMENTARY SCHL,28.824093,-82.35038,POLK,1901,SOCRUM ELEMENTARY SCHOOL,28.170071,-82.016113,1646,318,49,9,94
892618,892618,1615,291,.73449111,81630.609,50.722893,POLK,1901,SOCRUM ELEMENTARY SCHOOL,28.170071,-82.016113,CITRUS,21,PLEASANT GROVE ELEMENTARY SCHL,28.824093,-82.35038,326,1645,9,49,94
892620,892620,1615,289,.73683113,81890.672,50.884487,POLK,1901,SOCRUM ELEMENTARY SCHOOL,28.170071,-82.016113,CITRUS,32,INVERNESS PRIMARY SCHOOL,28.833254,-82.337219,324,1645,9,49,94
143083,143083,289,1615,.73683113,81890.672,50.884487,CITRUS,32,INVERNESS PRIMARY SCHOOL,28.833254,-82.337219,POLK,1901,SOCRUM ELEMENTARY SCHOOL,28.170071,-82.016113,1646,320,49,9,94
889173,889173,1611,291,.76654315,85192.836,52.936359,POLK,1841,R. CLEM CHURCHWELL ELEMENTARY,28.148354,-81.988487,CITRUS,21,PLEASANT GROVE ELEMENTARY SCHL,28.824093,-82.35038,326,1641,9,49,94
138697,138697,283,1632,.77150738,85744.555,53.279182,CITRUS,35,CENTRAL RIDGE ELEMENTARY SCHOOL,28.974022,-82.438232,PUTNAM,341,OCHWILLA ELEMENTARY SCHOOL,29.629139,-82.030746,1663,321,50,9,95
904893,904893,1632,283,.77150738,85744.555,53.279182,PUTNAM,341,OCHWILLA ELEMENTARY SCHOOL,29.629139,-82.030746,CITRUS,35,CENTRAL RIDGE ELEMENTARY SCHOOL,28.974022,-82.438232,318,1664,9,50,95
904892,904892,1632,284,.79732174,88613.539,55.061886,PUTNAM,341,OCHWILLA ELEMENTARY SCHOOL,29.629139,-82.030746,CITRUS,181,CITRUS SPRINGS ELEMENTARY SCHOOL,28.980583,-82.494537,319,1664,9,50,95
139494,139494,284,1632,.79732174,88613.539,55.061886,CITRUS,181,CITRUS SPRINGS ELEMENTARY SCHOOL,28.980583,-82.494537,PUTNAM,341,OCHWILLA ELEMENTARY SCHOOL,29.629139,-82.030746,1663,326,50,9,95
141881,141881,287,1632,.81313276,90370.766,56.15377,CITRUS,171,HERNANDO ELEMENTARY SCHOOL,28.896627,-82.383759,PUTNAM,341,OCHWILLA ELEMENTARY SCHOOL,29.629139,-82.030746,1663,325,50,9,95
973778,973778,1762,289,.27874056,30978.947,19.24942,SUMTER,31,BUSHNELL ELEMENTARY SCHOOL,28.662489,-82.116913,CITRUS,32,INVERNESS PRIMARY SCHOOL,28.833254,-82.337219,324,1793,9,56,96
143156,143156,289,1762,.27874056,30978.947,19.24942,CITRUS,32,INVERNESS PRIMARY SCHOOL,28.833254,-82.337219,SUMTER,31,BUSHNELL ELEMENTARY SCHOOL,28.662489,-82.116913,1793,320,56,9,96
144765,144765,291,1762,.28394136,31556.959,19.60858,CITRUS,21,PLEASANT GROVE ELEMENTARY SCHL,28.824093,-82.35038,SUMTER,31,BUSHNELL ELEMENTARY SCHOOL,28.662489,-82.116913,1793,318,56,9,96
141712,141712,287,1763,.29076162,32314.955,20.079576,CITRUS,171,HERNANDO ELEMENTARY SCHOOL,28.896627,-82.383759,SUMTER,181,LAKE PANASOFFKEE ELEM. SCHOOL,28.768162,-82.12291,1794,325,56,9,96
143309,143309,289,1765,.29929429,33263.27,20.668831,CITRUS,32,INVERNESS PRIMARY SCHOOL,28.833254,-82.337219,SUMTER,102,WILDWOOD ELEMENTARY SCHOOL,28.857233,-82.038887,1796,320,56,9,96
167257,167257,350,295,.59941155,66618,41.394493,COLUMBIA,81,EASTSIDE ELEMENTARY SCHOOL,30.184196,-82.606346,CLAY,411,CLAY HILL ELEMENTARY SCHOOL,30.144325,-82.008263,330,385,10,12,97
168164,168164,353,295,.61754495,68633.328,42.646759,COLUMBIA,71,MELROSE PARK ELEMENTARY SCHOOL,30.184649,-82.624489,CLAY,411,CLAY HILL ELEMENTARY SCHOOL,30.144325,-82.008263,330,384,10,12,97
168462,168462,354,295,.62307239,69247.641,43.028477,COLUMBIA,161,NIBLACK ELEMENTARY SCHOOL,30.19902,-82.628929,CLAY,411,CLAY HILL ELEMENTARY SCHOOL,30.144325,-82.008263,330,389,10,12,97
169056,169056,356,295,.63627559,70715.031,43.940269,COLUMBIA,8001,PREK ESE,30.188446,-82.643005,CLAY,411,CLAY HILL ELEMENTARY SCHOOL,30.144325,-82.008263,330,393,10,12,97
