female,white,age,ideology,newsdays,bush,obama,mccain,clinton,limbaugh
1,1,35,3,0,50,100,40,60,50
1,1,70,4,7,40,70,40,70,0
1,1,52,6,0,40,30,60,0,0
1,1,23,2,0,30,70,40,30,50
1,1,54,5,7,30,40,70,70,85
0,1,63,4,7,85,30,70,30,85
0,1,43,6,4,50,20,70,40,70
0,1,68,5,2,70,70,85,40,50
0,1,69,7,2,85,15,85,0,100
1,1,64,3,7,15,85,30,70,0
1,1,47,2,7,0,85,15,85,0
0,0,35,4,7,0,70,30,70,0
1,1,46,4,4,60,40,85,85,70
1,1,71,6,7,30,50,50,50,50
1,0,49,3,2,15,85,50,85,50
1,1,68,3,0,0,85,60,40,30
0,0,31,4,7,60,85,60,70,50
0,1,68,6,2,60,0,70,15,85
0,1,43,4,5,40,30,40,30,70
0,1,46,5,5,60,60,70,30,30
0,1,46,5,2,70,0,60,0,15
1,0,27,3,0,60,85,30,100,50
0,1,75,5,2,0,70,30,30,0
1,0,47,6,4,50,100,15,85,0
0,1,49,2,0,15,70,60,85,10
0,0,22,3,7,60,85,50,85,15
1,1,57,4,0,60,15,70,85,50
0,0,59,1,7,0,100,0,100,0
0,0,20,5,1,40,100,50,85,50
0,0,26,3,4,40,85,60,70,0
1,0,56,4,7,30,60,85,85,50
1,0,70,4,7,70,85,70,70,85
1,1,42,2,7,10,60,30,60,15
1,1,49,5,4,60,30,85,40,15
0,1,21,5,3,60,30,70,40,15
1,1,85,5,7,70,70,70,15,50
0,1,51,4,2,0,85,30,60,40
0,1,72,4,7,0,70,70,100,15
0,1,62,6,7,60,40,50,40,50
0,1,71,4,7,0,85,0,70,60
1,0,53,4,4,15,100,50,70,60
1,1,30,3,5,15,75,35,55,40
1,1,72,4,5,50,70,50,30,15
0,1,31,3,4,0,85,60,70,30
1,1,64,6,2,25,75,25,50,50
1,1,82,7,4,100,15,100,40,85
1,1,72,6,5,60,40,60,0,40
0,1,29,3,0,30,50,50,50,50
1,1,86,4,4,60,50,60,85,60
0,1,72,6,7,70,15,85,50,60
1,0,58,6,3,40,70,40,60,30
1,0,31,4,3,0,70,0,60,0
0,0,50,4,4,30,85,50,70,0
0,0,50,4,7,40,70,70,85,0
1,0,30,2,1,15,100,40,85,0
0,1,24,1,3,50,70,60,50,70
1,1,41,3,7,60,70,85,85,50
1,1,64,4,0,60,85,40,100,30
1,0,34,2,2,15,85,30,85,0
1,1,38,3,5,0,100,30,100,50
0,0,22,4,1,40,50,40,50,50
1,1,34,5,4,70,60,70,30,60
0,1,52,4,0,15,85,0,85,85
1,0,39,2,7,30,100,0,100,40
0,1,30,4,0,40,60,40,40,50
1,1,27,2,1,0,85,15,70,50
0,0,30,3,0,30,85,40,70,50
1,0,73,1,0,50,85,50,85,50
1,0,24,4,7,0,100,0,85,0
0,0,57,3,3,70,70,60,85,60
0,0,34,5,1,70,70,60,70,50
0,0,50,4,7,50,85,60,85,15
1,1,58,4,3,85,0,100,70,50
0,1,55,5,3,40,15,60,15,50
0,1,78,4,4,60,40,50,0,50
0,1,58,5,1,70,15,70,15,15
0,0,62,5,7,50,70,40,100,30
1,0,57,5,5,50,100,60,100,40
1,0,56,4,7,10,50,25,50,0
1,1,76,6,7,100,0,80,5,100
0,0,40,1,4,0,60,0,60,88
1,0,35,4,3,60,85,50,85,50
0,0,56,2,7,0,55,25,100,0
1,1,37,5,0,60,30,70,40,50
0,0,45,5,4,40,60,60,70,40
1,1,26,6,7,80,10,60,45,50
1,1,37,6,7,60,50,60,50,85
0,1,61,6,5,85,15,70,15,85
1,1,71,6,7,85,70,85,60,50
1,1,51,4,7,60,60,50,70,0
0,1,69,6,7,70,30,70,60,60
0,1,48,6,7,85,50,70,15,60
1,1,35,6,4,60,15,85,15,50
0,1,42,6,0,85,50,85,40,40
1,1,82,6,1,100,30,100,40,85
1,1,57,6,7,90,30,85,40,95
1,1,49,6,2,85,40,85,50,50
1,1,38,6,4,70,30,85,70,0
0,1,61,6,0,70,0,70,0,70
0,1,31,7,7,85,40,85,30,40
0,1,45,6,3,30,40,30,60,60
1,1,51,7,4,50,100,40,85,40
1,0,47,2,1,30,100,15,100,60
1,1,84,5,0,60,70,70,60,0
1,0,53,2,7,15,100,15,85,0
1,1,78,6,6,85,0,85,15,60
0,1,35,3,7,30,85,40,70,40
0,1,64,3,7,0,100,60,100,15
1,1,45,4,3,50,50,50,50,50
0,0,47,7,7,70,100,70,85,50
1,1,35,5,1,70,60,70,50,50
0,1,69,4,1,15,85,50,40,15
1,0,31,6,5,70,0,70,60,85
0,0,27,5,7,0,85,0,85,70
1,1,56,2,7,15,85,0,60,0
1,1,23,4,0,60,0,60,0,85
1,1,34,3,2,30,50,40,0,15
1,1,26,5,0,85,40,70,60,50
1,1,48,6,4,30,0,70,30,60
1,1,29,1,4,50,70,60,70,30
0,1,37,3,2,85,40,85,70,85
0,1,28,6,0,30,70,70,40,60
0,1,38,5,1,40,70,60,50,85
1,1,67,6,6,85,15,85,30,70
0,1,63,3,7,60,85,85,100,50
1,1,24,5,3,30,50,50,50,50
0,1,35,6,0,70,50,70,60,85
0,0,25,4,7,0,100,30,100,0
0,1,52,2,4,30,50,70,60,30
0,0,85,1,7,100,100,85,85,60
1,1,48,4,7,0,85,0,100,0
