annualGrammy,category,awardType,awardFor,name
52,Best Bluegrass Album,Work,The Crow: New Songs For The Five-String Banjo,Steve Martin
52,Best Traditional Blues Album,Individual,A Stranger Here,A Stranger Here
52,Best Contemporary Blues Album,Individual,Already Free,Already Free
52,Best Traditional Folk Album,Individual,High Wide & Handsome: The Charlie Poole Project,High Wide & Handsome: The Charlie Poole Project
52,Best Contemporary Folk Album,Individual,Townes,Townes
52,Best Hawaiian Music Album,Individual,"Masters Of Hawaiian Slack Key Guitar, Volume 2","Masters Of Hawaiian Slack Key Guitar, Volume 2"
52,Best Native American Music Album,Individual,Spirit Wind North,Spirit Wind North
52,Best Zydeco Or Cajun Music Album,Individual,Lay Your Burden Down,Lay Your Burden Down
52,Best Reggae Album,Individual,Mind Control - Acoustic,Mind Control - Acoustic
52,Best Traditional World Music Album,Individual,Douga Mansa,Douga Mansa
52,Best Contemporary World Music Album,Work,"Throw Down Your Heart: Tales From The Acoustic Planet, Vol. 3 - Africa Sessions",Béla Fleck
52,Best Musical Album For Children,Work,Family Time,Ziggy Marley
52,Best Spoken Word Album For Children,Individual,"Aaaaah! Spooky, Scary Stories & Songs","Aaaaah! Spooky, Scary Stories & Songs"
52,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",Individual,Always Looking Up,Always Looking Up
52,Best Comedy Album,Individual,A Colbert Christmas: The Greatest Gift Of All!,A Colbert Christmas: The Greatest Gift Of All!
52,Best Musical Show Album,Individual,West Side Story,West Side Story
52,"Best Compilation Soundtrack Album For Motion Picture, Television Or Other Visual Media",Individual,Slumdog Millionaire,Slumdog Millionaire
52,"Best Score Soundtrack Album For Motion Picture, Television Or Other Visual Media",Individual,Up,Up
52,"Best Song Written For Motion Picture, Television Or Other Visual Media",Individual,Jai Ho (From Slumdog Millionaire),Jai Ho (From Slumdog Millionaire)
52,Best Instrumental Composition,Individual,Married Life,Married Life
52,Best Instrumental Arrangement,Individual,West Side Story Medley,West Side Story Medley
52,Best Instrumental Arrangement Accompanying Vocalist(s),Individual,Quiet Nights,Quiet Nights
52,Best Recording Package,Individual,Everything That Happens Will Happen Today,Everything That Happens Will Happen Today
52,Best Boxed Or Special Limited Edition Package,Work,Neil Young Archives Vol. I (1963-1972),Neil Young
52,Best Album Notes,Individual,The Complete Louis Armstrong Decca Sessions (1935-1946),The Complete Louis Armstrong Decca Sessions (1935-1946)
52,Best Historical Album,Individual,The Complete Chess Masters (1950-1967),The Complete Chess Masters (1950-1967)
52,"Best Engineered Album, Non-Classical",Work,Ellipse,Imogen Heap
52,"Producer Of The Year, Non-Classical",Individual,Brendan O'Brien,Brendan O'Brien
52,"Best Remixed Recording, Non-Classical",Individual,When Love Takes Over (Electro Extended Remix),When Love Takes Over (Electro Extended Remix)
52,Best Surround Sound Album,Individual,Transmigration,Transmigration
52,"Best Engineered Album, Classical",Individual,Mahler: Symphony No. 8; Adagio From Symphony No. 10,Mahler: Symphony No. 8; Adagio From Symphony No. 10
52,"Producer Of The Year, Classical",Individual,Steven Epstein,Steven Epstein
52,Best Classical Album,Individual,Mahler: Symphony No. 8; Adagio From Symphony No. 10,Mahler: Symphony No. 8; Adagio From Symphony No. 10
52,Best Orchestral Performance,Individual,Ravel: Daphnis Et Chloé,Ravel: Daphnis Et Chloé
52,Best Opera Recording,Individual,Britten: Billy Budd,Britten: Billy Budd
52,Best Choral Performance,Individual,Mahler: Symphony No. 8; Adagio From Symphony No. 10,Mahler: Symphony No. 8; Adagio From Symphony No. 10
52,Best Instrumental Soloist(s) Performance (with Orchestra),Individual,Prokofiev: Piano Concertos Nos. 2 & 3,Prokofiev: Piano Concertos Nos. 2 & 3
52,Best Instrumental Soloist Performance (without Orchestra),Individual,Journey To The New World,Journey To The New World
52,Best Chamber Music Performance,Individual,Intimate Letters,Intimate Letters
52,Best Small Ensemble Performance,Individual,"Lang, David: The Little Match Girl Passion","Lang, David: The Little Match Girl Passion"
52,Best Classical Vocal Performance,Individual,Verismo Arias,Verismo Arias
52,Best Classical Contemporary Composition,Individual,"Higdon, Jennifer: Percussion Concerto","Higdon, Jennifer: Percussion Concerto"
52,Best Classical Crossover Album,Work,Yo-Yo Ma & Friends: Songs Of Joy And Peace,Yo-Yo Ma
52,Best Short Form Music Video,Work,Boom Boom Pow,The Black Eyed Peas
52,Best Long Form Music Video,Individual,The Beatles Love - All Together Now,The Beatles Love - All Together Now
53,Record Of The Year,Work,Need You Now,Lady Antebellum
53,Album Of The Year,Work,The Suburbs,Arcade Fire
53,Song Of The Year,Work,Need You Now,Lady Antebellum
53,Best New Artist,Individual,Esperanza Spalding,Esperanza Spalding
53,Best Female Pop Vocal Performance,Work,Bad Romance,Lady Gaga
53,Best Male Pop Vocal Performance,Work,Just The Way You Are,Bruno Mars
53,Best Pop Performance By A Duo Or Group With Vocals,Work,"Hey, Soul Sister (Live)",Train
53,Best Pop Collaboration With Vocals,Work,Imagine,Herbie Hancock
53,Best Pop Instrumental Performance,Work,Nessun Dorma,Jeff Beck
53,Best Pop Instrumental Album,Individual,Take Your Pick,Take Your Pick
53,Best Pop Vocal Album,Work,The Fame Monster,Lady Gaga
53,Best Dance Recording,Work,Only Girl (In The World),Rihanna
53,Best Electronic/Dance Album,Individual,La Roux,La Roux
53,Best Traditional Pop Vocal Album,Work,Crazy Love,Michael Bublé
53,Best Solo Rock Vocal Performance,Work,Helter Skelter,Paul McCartney
53,Best Rock Performance By A Duo Or Group With Vocals,Work,Tighten Up,The Black Keys
53,Best Hard Rock Performance,Individual,New Fang,New Fang
53,Best Metal Performance,Individual,El Dorado,El Dorado
53,Best Rock Instrumental Performance,Work,Hammerhead,Jeff Beck
53,Best Rock Song,Work,Angry World,Neil Young
53,Best Rock Album,Work,The Resistance,Muse
53,Best Alternative Music Album,Work,Brothers,The Black Keys
53,Best Female R&B Vocal Performance,Individual,Bittersweet,Bittersweet
53,Best Male R&B Vocal Performance,Work,There Goes My Baby,Usher
53,Best R&B Performance By A Duo Or Group With Vocals,Individual,Soldier Of Love,Soldier Of Love
53,Best Traditional R&B Vocal Performance,Work,Hang On In There,John Legend
53,Best Urban/Alternative Performance,Work,Fuck You,Cee Lo Green
53,Best R&B Song,Work,Shine,John Legend
53,Best R&B Album,Work,Wake Up!,John Legend
53,Best Contemporary R&B Album,Work,Raymond V Raymond,Usher
53,Best Rap Solo Performance,Work,Not Afraid,Eminem
53,Best Rap Performance By A Duo Or Group,Work,On To The Next One,Jay-Z
53,Best Rap/Sung Collaboration,Work,Empire State Of Mind,Jay-Z
53,Best Rap Song,Work,Empire State Of Mind,Alicia Keys
53,Best Rap Album,Work,Recovery,Eminem
53,Best Female Country Vocal Performance,Work,The House That Built Me,Miranda Lambert
53,Best Male Country Vocal Performance,Work,'Til Summer Comes Around,Keith Urban
53,Best Country Performance By A Duo Or Group With Vocals,Work,Need You Now,Lady Antebellum
53,Best Country Collaboration With Vocals,Work,As She's Walking Away,Zac Brown Band
53,Best Country Instrumental Performance,Individual,Hummingbyrd,Hummingbyrd
53,Best Country Song,Work,Need You Now,Lady Antebellum
53,Best Country Album,Work,Need You Now,Lady Antebellum
53,Best New Age Album,Individual,Miho: Journey To The Mountain,Miho: Journey To The Mountain
53,Best Contemporary Jazz Album,Individual,The Stanley Clarke Band,The Stanley Clarke Band
53,Best Jazz Vocal Album,Individual,Eleanora Fagan (1915-1959): To Billie With Love From Dee Dee,Eleanora Fagan (1915-1959): To Billie With Love From Dee Dee
53,Best Improvised Jazz Solo,Work,A Change Is Gonna Come,Herbie Hancock
53,"Best Jazz Instrumental Album, Individual or Group",Individual,Moody 4B,Moody 4B
53,Best Large Jazz Ensemble Album,Individual,Mingus Big Band Live At Jazz Standard,Mingus Big Band Live At Jazz Standard
53,Best Latin Jazz Album,Individual,Chucho's Steps,Chucho's Steps
53,Best Gospel Performance,Work,Grace,BeBe
53,Best Gospel Song,Individual,It's What I Do,It's What I Do
53,Best Rock Or Rap Gospel Album,Individual,Hello Hurricane,Hello Hurricane
53,Best Pop/Contemporary Gospel Album,Individual,Love God. Love People.,Love God. Love People.
53,"Best Southern, Country, Or Bluegrass Gospel Album",Individual,The Reason,The Reason
53,Best Traditional Gospel Album,Individual,Downtown Church,Downtown Church
53,Best Contemporary R&B Gospel Album,Work,Still,BeBe
53,Best Latin Pop Album,Individual,Paraiso Express,Paraiso Express
53,"Best Latin Rock, Alternative Or Urban Album",Individual,El Existential,El Existential
53,Best Tropical Latin Album,Individual,Viva La Tradición,Viva La Tradición
53,Best Tejano Album,Individual,Recuerdos,Recuerdos
53,Best Norteño Album,Individual,Classic,Classic
53,Best Banda Album,Individual,Enamórate De Mí,Enamórate De Mí
53,Best Americana Album,Individual,You Are Not Alone,You Are Not Alone
53,Best Bluegrass Album,Individual,Mountain Soul II,Mountain Soul II
53,Best Traditional Blues Album,Individual,Joined At The Hip,Joined At The Hip
53,Best Contemporary Blues Album,Individual,Living Proof,Living Proof
53,Best Traditional Folk Album,Individual,Genuine Negro Jig,Genuine Negro Jig
53,Best Contemporary Folk Album,Individual,God Willin' & The Creek Don't Rise,God Willin' & The Creek Don't Rise
53,Best Hawaiian Music Album,Individual,Huana Ke Aloha,Huana Ke Aloha
53,Best Native American Music Album,Individual,2010 Gathering Of Nations Pow Wow: A Spirit's Dance,2010 Gathering Of Nations Pow Wow: A Spirit's Dance
53,Best Zydeco Or Cajun Music Album,Individual,Zydeco Junkie,Zydeco Junkie
53,Best Reggae Album,Individual,Before The Dawn,Before The Dawn
53,Best Traditional World Music Album,Individual,Ali And Toumani,Ali And Toumani
53,Best Contemporary World Music Album,Work,"Throw Down Your Heart , Africa Sessions Part 2: Unreleased Tracks",Béla Fleck
53,Best Musical Album For Children,Individual,Tomorrow's Children,Tomorrow's Children
53,Best Spoken Word Album For Children,Individual,"Julie Andrews' Collection Of Poems, Songs, And Lullabies","Julie Andrews' Collection Of Poems, Songs, And Lullabies"
53,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",Individual,The Daily Show With Jon Stewart Presents Earth (The Audiobook),The Daily Show With Jon Stewart Presents Earth (The Audiobook)
53,Best Comedy Album,Individual,Stark Raving Black,Stark Raving Black
53,Best Musical Show Album,Individual,American Idiot - Featuring Green Day,American Idiot - Featuring Green Day
53,"Best Compilation Soundtrack Album For Motion Picture, Television Or Other Visual Media",Individual,Crazy Heart,Crazy Heart
53,"Best Score Soundtrack Album For Motion Picture, Television Or Other Visual Media",Individual,Toy Story 3,Toy Story 3
53,"Best Song Written For Motion Picture, Television Or Other Visual Media",Work,The Weary Kind (From Crazy Heart),T Bone Burnett
53,Best Instrumental Composition,Individual,The Path Among The Trees,The Path Among The Trees
53,Best Instrumental Arrangement,Individual,Carlos,Carlos
53,Best Instrumental Arrangement Accompanying Vocalist(s),Individual,Baba Yetu,Baba Yetu
53,Best Recording Package,Work,Brothers,The Black Keys
53,Best Boxed Or Special Limited Edition Package,Work,Under Great White Northern Lights (Limited Edition Box Set),Jack White III
53,Best Album Notes,Individual,Keep An Eye On The Sky,Keep An Eye On The Sky
53,Best Historical Album,Individual,The Beatles (The Original Studio Recordings),The Beatles (The Original Studio Recordings)
53,"Best Engineered Album, Non-Classical",Individual,Battle Studies,Battle Studies
53,"Producer Of The Year, Non-Classical",Individual,Danger Mouse,Danger Mouse
53,"Best Remixed Recording, Non-Classical",Individual,Revolver (David Guetta's One Love Club Remix),Revolver (David Guetta's One Love Club Remix)
53,Best Surround Sound Album,Individual,Britten's Orchestra,Britten's Orchestra
53,"Best Engineered Album, Classical",Individual,Daugherty: Metropolis Symphony; Deus Ex Machina,Daugherty: Metropolis Symphony; Deus Ex Machina
53,"Producer Of The Year, Classical",Work,David Frost,David Frost
53,Best Classical Album,Work,Verdi: Requiem,David Frost
53,Best Orchestral Performance,Individual,Daugherty: Metropolis Symphony; Deus Ex Machina,Daugherty: Metropolis Symphony; Deus Ex Machina
53,Best Opera Recording,Individual,Saariaho: L'Amour De Loin,Saariaho: L'Amour De Loin
53,Best Choral Performance,Individual,Verdi: Requiem,Verdi: Requiem
53,Best Instrumental Soloist(s) Performance (with Orchestra),Individual,Mozart: Piano Concertos Nos. 23 & 24,Mozart: Piano Concertos Nos. 23 & 24
53,Best Instrumental Soloist Performance (without Orchestra),Individual,Messiaen: Livre Du Saint-Sacrement,Messiaen: Livre Du Saint-Sacrement
53,Best Chamber Music Performance,Individual,Ligeti: String Quartets Nos. 1 & 2,Ligeti: String Quartets Nos. 1 & 2
53,Best Small Ensemble Performance,Individual,Dinastia Borja,Dinastia Borja
53,Best Classical Vocal Performance,Individual,Sacrificium,Sacrificium
53,Best Classical Contemporary Composition,Individual,"Daugherty, Michael: Deus Ex Machina","Daugherty, Michael: Deus Ex Machina"
53,Best Classical Crossover Album,Individual,"Tin, Christopher: Calling All Dawns","Tin, Christopher: Calling All Dawns"
53,Best Short Form Music Video,Work,Bad Romance,Lady Gaga
53,Best Long Form Music Video,Individual,When You're Strange,When You're Strange
54,Record Of The Year,Work,Rolling In The Deep,Adele
54,Album Of The Year,Work,21,Adele
54,Song Of The Year,Work,Rolling In The Deep,Adele Adkins
54,Best New Artist,Work,Bon Iver,Bon Iver
54,Best Pop Solo Performance,Work,Someone Like You,Adele
54,Best Pop Duo/Group Performance,Work,Body And Soul,Tony Bennett
54,Best Pop Instrumental Album,Individual,The Road From Memphis,The Road From Memphis
54,Best Pop Vocal Album,Work,21,Adele
54,Best Dance Recording,Work,Scary Monsters And Nice Sprites,Skrillex
54,Best Dance/Electronica Album,Work,Scary Monsters And Nice Sprites,Skrillex
54,Best Traditional Pop Vocal Album,Work,Duets II,Tony Bennett
54,Best Rock Performance,Work,Walk,Foo Fighters
54,Best Hard Rock/Metal Performance,Work,White Limo,Foo Fighters
54,Best Rock Song,Work,Walk,Foo Fighters
54,Best Rock Album,Work,Wasting Light,Foo Fighters
54,Best Alternative Music Album,Work,Bon Iver,Bon Iver
54,Best R&B Performance,Individual,Is This Love,Is This Love
54,Best Traditional R&B Performance,Work,Fool For You,Cee Lo Green
54,Best R&B Song,Work,Fool For You,Cee Lo Green
54,Best R&B Album,Work,F.A.M.E.,Chris Brown
54,Best Rap Performance,Work,Otis,Jay-Z
54,Best Rap/Sung Collaboration,Work,All Of The Lights,Kanye West
54,Best Rap Song,Work,All Of The Lights,Kanye West
54,Best Rap Album,Work,My Beautiful Dark Twisted Fantasy,Kanye West
54,Best Country Solo Performance,Work,Mean,Taylor Swift
54,Best Country Duo/Group Performance,Work,Barton Hollow,The Civil Wars
54,Best Country Song,Work,Mean,Taylor Swift
54,Best Country Album,Work,Own The Night,Lady Antebellum
54,Best New Age Album,Work,What's It All About,Pat Metheny
54,Best Improvised Jazz Solo,Work,500 Miles High,Chick Corea
54,Best Jazz Vocal Album,Individual,The Mosaic Project,The Mosaic Project
54,Best Jazz Instrumental Album,Work,Forever,Chick Corea
54,Best Large Jazz Ensemble Album,Individual,The Good Feeling,The Good Feeling
54,Best Gospel/Contemporary Christian Music Performance,Individual,Jesus,Jesus
54,Best Gospel Song,Work,Hello Fear,Kirk Franklin
54,Best Contemporary Christian Music Song,Individual,Blessings,Blessings
54,Best Gospel Album,Work,Hello Fear,Kirk Franklin
54,Best Contemporary Christian Music Album,Individual,And If Our God Is For Us...,And If Our God Is For Us...
54,"Best Latin Pop, Rock, Or Urban Album",Individual,Drama Y Luz,Drama Y Luz
54,Best Regional Mexican Or Tejano Album,Individual,Bicentenario,Bicentenario
54,Best Banda Or Norteño Album,Individual,Los Tigres Del Norte And Friends,Los Tigres Del Norte And Friends
54,Best Tropical Latin Album,Individual,The Last Mambo,The Last Mambo
54,Best Americana Album,Individual,Ramble At The Ryman,Ramble At The Ryman
54,Best Bluegrass Album,Work,Paper Airplane,Alison Krauss
54,Best Blues Album,Individual,Revelator,Revelator
54,Best Folk Album,Work,Barton Hollow,The Civil Wars
54,Best Regional Roots Music Album,Individual,Rebirth Of New Orleans,Rebirth Of New Orleans
54,Best Reggae Album,Individual,Revelation Pt. 1: The Root Of Life,Revelation Pt. 1: The Root Of Life
54,Best World Music Album,Individual,Tassili,Tassili
54,Best Children's Album,Individual,All About Bullies... Big And Small,All About Bullies... Big And Small
54,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",Individual,If You Ask Me (And Of Course You Won't),If You Ask Me (And Of Course You Won't)
54,Best Comedy Album,Individual,Hilarious,Hilarious
54,Best Musical Theater Album,Individual,The Book Of Mormon,The Book Of Mormon
54,Best Compilation Soundtrack For Visual Media,Individual,Boardwalk Empire: Volume 1,Boardwalk Empire: Volume 1
54,Best Score Soundtrack For Visual Media,Individual,The King's Speech,The King's Speech
54,Best Song Written For Visual Media,Work,I See The Light (From Tangled),Alan Menken
54,Best Instrumental Composition,Work,Life In Eleven,Béla Fleck
54,Best Instrumental Arrangement,Individual,Rhapsody In Blue,Rhapsody In Blue
54,Best Instrumental Arrangement Accompanying Vocalist(s),Individual,Who Can I Turn To (When Nobody Needs Me),Who Can I Turn To (When Nobody Needs Me)
54,Best Recording Package,Individual,Scenes From The Suburbs,Scenes From The Suburbs
54,Best Boxed Or Special Limited Edition Package,Individual,The Promise: The Darkness On The Edge Of Town Story,The Promise: The Darkness On The Edge Of Town Story
54,Best Album Notes,Individual,"Hear Me Howling!: Blues, Ballads & Beyond As Recorded By The San Francisco Bay By Chris Strachwitz In The 1960s","Hear Me Howling!: Blues, Ballads & Beyond As Recorded By The San Francisco Bay By Chris Strachwitz In The 1960s"
54,Best Historical Album,Work,Band On The Run (Paul McCartney Archive Collection - Deluxe Edition),Paul McCartney
54,"Best Engineered Album, Non-Classical",Individual,Paper Airplane,Paper Airplane
54,"Producer Of The Year, Non-Classical",Individual,Paul Epworth,Paul Epworth
54,"Best Remixed Recording, Non-Classical",Individual,Cinema (Skrillex Remix),Cinema (Skrillex Remix)
54,Best Surround Sound Album,Individual,Layla And Other Assorted Love Songs (Super Deluxe Edition),Layla And Other Assorted Love Songs (Super Deluxe Edition)
54,"Best Engineered Album, Classical",Individual,Aldridge: Elmer Gantry,Aldridge: Elmer Gantry
54,"Producer Of The Year, Classical",Individual,Judith Sherman,Judith Sherman
54,Best Orchestral Performance,Individual,Brahms: Symphony No. 4,Brahms: Symphony No. 4
54,Best Opera Recording,Individual,Adams: Doctor Atomic,Adams: Doctor Atomic
54,Best Choral Performance,Individual,Light & Gold,Light & Gold
54,Best Small Ensemble Performance,Individual,Mackey: Lonely Motel - Music From Slide,Mackey: Lonely Motel - Music From Slide
54,Best Classical Instrumental Solo,Individual,Schwantner: Concerto For Percussion & Orchestra,Schwantner: Concerto For Percussion & Orchestra
54,Best Classical Vocal Solo,Individual,Diva Divo,Diva Divo
54,Best Contemporary Classical  Composition,Individual,"Aldridge, Robert: Elmer Gantry","Aldridge, Robert: Elmer Gantry"
54,Best Short Form Music Video,Work,Rolling In The Deep,Adele
54,Best Long Form Music Video,Work,Foo Fighters: Back And Forth,Foo Fighters
55,Record Of The Year,Work,Somebody That I Used To Know,Gotye
55,Album Of The Year,Work,Babel,Mumford & Sons
55,Song Of The Year,Work,We Are Young,Fun.
55,Best New Artist,Work,Fun.,Fun.
55,Best Pop Solo Performance,Work,Set Fire To The Rain [Live],Adele
55,Best Pop Duo/Group Performance,Work,Somebody That I Used To Know,Gotye
55,Best Pop Instrumental Album,Individual,Impressions,Impressions
55,Best Pop Vocal Album,Work,Stronger,Kelly Clarkson
55,Best Dance Recording,Work,Bangarang,Skrillex
55,Best Dance/Electronica Album,Work,Bangarang,Skrillex
55,Best Traditional Pop Vocal Album,Work,Kisses On The Bottom,Paul McCartney
55,Best Rock Performance,Work,Lonely Boy,The Black Keys
55,Best Hard Rock/Metal Performance,Work,Love Bites (So Do I),Halestorm
55,Best Rock Song,Work,Lonely Boy,Dan Auerbach
55,Best Rock Album,Work,El Camino,The Black Keys
55,Best Alternative Music Album,Work,Making Mirrors,Gotye
55,Best R&B Performance,Work,Climax,Usher
55,Best Traditional R&B Performance,Work,Love On Top,Beyoncé
55,Best R&B Song,Work,Adorn,Miguel Pimentel
55,Best Urban Contemporary Album,Work,Channel Orange,Frank Ocean
55,Best R&B Album,Work,Black Radio,Robert Glasper Experiment
55,Best Rap Performance,Work,N****s In Paris,Jay-Z
55,Best Rap/Sung Collaboration,Work,No Church In The Wild,Jay-Z
55,Best Rap Song,Work,N****s In Paris,Shawn Carter
55,Best Rap Album,Work,Take Care,Drake
55,Best Country Solo Performance,Work,Blown Away,Carrie Underwood
55,Best Country Duo/Group Performance,Individual,Pontoon,Pontoon
55,Best Country Song,Work,Blown Away,Carrie Underwood
55,Best Country Album,Work,Uncaged,Zac Brown Band
55,Best New Age Album,Individual,Echoes Of Love,Echoes Of Love
55,Best Improvised Jazz Solo,Work,Hot House,Chick Corea
55,Best Jazz Vocal Album,Individual,Radio Music Society,Radio Music Society
55,Best Jazz Instrumental Album,Work,Unity Band,Pat Metheny
55,Best Large Jazz Ensemble Album,Individual,Dear Diz (Every Day I Think Of You),Dear Diz (Every Day I Think Of You)
55,Best Latin Jazz Album,Individual,¡Ritmo!,¡Ritmo!
55,Best Gospel/Contemporary Christian Music Performance,Work,"10,000 Reasons (Bless The Lord)",Matt Redman
55,Best Gospel Song,Individual,Go Get It,Go Get It
55,Best Contemporary Christian Music Song,Work,"10,000 Reasons (Bless The Lord)",Matt Redman
55,Best Gospel Album,Individual,Gravity,Gravity
55,Best Contemporary Christian Music Album,Individual,Eye On It,Eye On It
55,Best Latin Pop Album,Work,MTV Unplugged Deluxe Edition,Juanes
55,"Best Latin Rock, Urban or Alternative Album",Individual,Imaginaries,Imaginaries
55,Best Regional Mexican Music Album (Including Tejano),Individual,Pecados Y Milagros,Pecados Y Milagros
55,Best Tropical Latin Album,Individual,Retro,Retro
55,Best Americana Album,Individual,Slipstream,Slipstream
55,Best Bluegrass Album,Individual,Nobody Knows You,Nobody Knows You
55,Best Blues Album,Work,Locked Down,Dr. John
55,Best Folk Album,Work,The Goat Rodeo Sessions,Yo-Yo Ma
55,Best Regional Roots Music Album,Individual,The Band Courtbouillon,The Band Courtbouillon
55,Best Reggae Album,Individual,Rebirth,Rebirth
55,Best World Music Album,Individual,The Living Room Sessions Part 1,The Living Room Sessions Part 1
55,Best Children's Album,Individual,Can You Canoe?,Can You Canoe?
55,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",Work,Society's Child: My Autobiography,Janis Ian
55,Best Comedy Album,Individual,Blow Your Pants Off,Blow Your Pants Off
55,Best Musical Theater Album,Individual,Once: A New Musical,Once: A New Musical
55,Best Compilation Soundtrack For Visual Media,Individual,Midnight In Paris,Midnight In Paris
55,Best Score Soundtrack For Visual Media,Individual,The Girl With The Dragon Tattoo,The Girl With The Dragon Tattoo
55,Best Song Written For Visual Media,Work,Safe & Sound (From The Hunger Games),T Bone Burnett
55,Best Instrumental Composition,Work,Mozart Goes Dancing,Chick Corea
55,Best Instrumental Arrangement,Individual,How About You,How About You
55,Best Instrumental Arrangement Accompanying Vocalist(s),Individual,City Of Roses,City Of Roses
55,Best Recording Package,Individual,Biophilia,Biophilia
55,Best Boxed Or Special Limited Edition Package,Individual,Woody At 100: The Woody Guthrie Centennial Collection,Woody At 100: The Woody Guthrie Centennial Collection
55,Best Album Notes,Individual,Singular Genius: The Complete ABC Singles,Singular Genius: The Complete ABC Singles
55,Best Historical Album,Work,The Smile Sessions (Deluxe Box Set),Brian Wilson
55,"Best Engineered Album, Non-Classical",Work,The Goat Rodeo Sessions,Richard King
55,"Producer Of The Year, Non-Classical",Work,Dan Auerbach,Dan Auerbach
55,"Best Remixed Recording, Non-Classical",Work,Promises (Skrillex & Nero Remix),Skrillex
55,Best Surround Sound Album,Individual,Modern Cool,Modern Cool
55,"Best Engineered Album, Classical",Individual,Life & Breath - Choral Works By René Clausen,Life & Breath - Choral Works By René Clausen
55,"Producer Of The Year, Classical",Work,Blanton Alspaugh (producer),Blanton Alspaugh
55,Best Orchestral Performance,Individual,Adams: Harmonielehre & Short Ride In A Fast Machine,Adams: Harmonielehre & Short Ride In A Fast Machine
55,Best Opera Recording,Individual,Wagner: Der Ring Des Nibelungen,Wagner: Der Ring Des Nibelungen
55,Best Choral Performance,Individual,Life & Breath - Choral Works By René Clausen,Life & Breath - Choral Works By René Clausen
55,Best Chamber Music/Small Ensemble Performance,Individual,Meanwhile,Meanwhile
55,Best Classical Instrumental Solo,Individual,Kurtág & Ligeti: Music For Viola,Kurtág & Ligeti: Music For Viola
55,Best Classical Vocal Solo,Individual,Poèmes,Poèmes
55,Best Classical Compendium,Individual,Penderecki: Fonogrammi; Horn Concerto; Partita; The Awakening Of Jacob; Anaklasis,Penderecki: Fonogrammi; Horn Concerto; Partita; The Awakening Of Jacob; Anaklasis
55,Best Contemporary Classical  Composition,Individual,"Hartke, Stephen: Meanwhile - Incidental Music To Imaginary Puppet Plays","Hartke, Stephen: Meanwhile - Incidental Music To Imaginary Puppet Plays"
55,Best Short Form Music Video,Work,We Found Love,Rihanna
55,Best Long Form Music Video,Work,Big Easy Express,Mumford & Sons
56,Record Of The Year,Work,Get Lucky,Daft Punk
56,Album Of The Year,Work,Random Access Memories,Daft Punk
56,Song Of The Year,Individual,Royals,Royals
56,Best New Artist,Work,Macklemore & Ryan Lewis,Macklemore & Ryan Lewis
56,Best Pop Solo Performance,Work,Royals,Lorde
56,Best Pop Duo/Group Performance,Work,Get Lucky,Daft Punk
56,Best Pop Instrumental Album,Individual,Steppin' Out,Steppin' Out
56,Best Pop Vocal Album,Work,Unorthodox Jukebox,Bruno Mars
56,Best Dance Recording,Individual,Clarity,Clarity
56,Best Dance/Electronica Album,Work,Random Access Memories,Daft Punk
56,Best Traditional Pop Vocal Album,Work,To Be Loved,Michael Bublé
56,Best Rock Performance,Work,Radioactive,Imagine Dragons
56,Best Metal Performance,Individual,God Is Dead?,God Is Dead?
56,Best Rock Song,Work,Cut Me Some Slack,Dave Grohl
56,Best Rock Album,Individual,Celebration Day,Celebration Day
56,Best Alternative Music Album,Work,Modern Vampires Of The City,Vampire Weekend
56,Best R&B Performance,Individual,Something,Something
56,Best Traditional R&B Performance,Work,Please Come Home,Gary Clark Jr.
56,Best R&B Song,Work,Pusher Love Girl,Justin Timberlake
56,Best Urban Contemporary Album,Work,Unapologetic,Rihanna
56,Best R&B Album,Work,Girl On Fire,Alicia Keys
56,Best Rap Performance,Work,Thrift Shop,Macklemore & Ryan Lewis
56,Best Rap/Sung Collaboration,Work,Holy Grail,Jay Z
56,Best Rap Song,Individual,Thrift Shop,Thrift Shop
56,Best Rap Album,Work,The Heist,Macklemore & Ryan Lewis
56,Best Country Solo Performance,Work,Wagon Wheel,Darius Rucker
56,Best Country Duo/Group Performance,Work,From This Valley,The Civil Wars
56,Best Country Song,Individual,Merry Go 'Round,Merry Go 'Round
56,Best Country Album,Work,Same Trailer Different Park,Kacey Musgraves
56,Best New Age Album,Individual,Love's River,Love's River
56,Best Improvised Jazz Solo,Individual,Orbits,Orbits
56,Best Jazz Vocal Album,Individual,Liquid Spirit,Liquid Spirit
56,Best Jazz Instrumental Album,Individual,Money Jungle: Provocative In Blue,Money Jungle: Provocative In Blue
56,Best Large Jazz Ensemble Album,Individual,Night In Calisia,Night In Calisia
56,Best Latin Jazz Album,Individual,Song For Maura,Song For Maura
56,Best Gospel/Contemporary Christian Music Performance,Individual,Break Every Chain [Live],Break Every Chain [Live]
56,Best Gospel Song,Work,If He Did It Before... Same God [Live],Tye Tribbett
56,Best Contemporary Christian Music Song,Individual,Overcomer,Overcomer
56,Best Gospel Album,Work,Greater Than [Live],Tye Tribbett
56,Best Contemporary Christian Music Album,Individual,Overcomer,Overcomer
56,Best Latin Pop Album,Individual,Vida,Vida
