annualGrammy,category,awardType,awardFor,name
5,Best Original Cast Show Album,Individual,No Strings,No Strings
5,Best Classical Performance - Orchestra,Individual,Stravinsky: The Firebird Ballet,Stravinsky: The Firebird Ballet
5,Best Classical Performance - Chamber Music,Individual,"The Heifetz-Piatigorsky Concerts With Primrose, Pennario And Guests","The Heifetz-Piatigorsky Concerts With Primrose, Pennario And Guests"
5,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),Individual,Stravinsky: Violin Concerto In D,Stravinsky: Violin Concerto In D
5,Best Classical Performance - Instrumental Soloist Or Duo (Without Orchestra),Work,Columbia Records Presents Vladimir Horowitz,Vladimir Horowitz
5,Best Opera Recording,Work,Verdi: Aida,Georg Solti
5,Best Classical Performance - Choral (Other Than Opera),Individual,Bach: St. Matthew Passion,Bach: St. Matthew Passion
5,Best Classical Performance - Vocal Soloist (With Or Without Orchestra),Individual,Wagner: Gotterdamerung - Brunnhilde's Immolation Scene/Wesendonck Songs,Wagner: Gotterdamerung - Brunnhilde's Immolation Scene/Wesendonck Songs
5,Best Contemporary Composition,Individual,Stravinsky: The Flood,Stravinsky: The Flood
5,Best Engineered Recording - Classical,Individual,Strauss: Also Sprach Zarathustra,Strauss: Also Sprach Zarathustra
5,Best Album Cover - Classical,Individual,The Intimate Bach,The Intimate Bach
5,Best Album Cover - Other Than Classical,Individual,Lena...Lovely And Alive,Lena...Lovely And Alive
5,Best Comedy Performance,Individual,The First Family,The First Family
5,Best Documentary Or Spoken Word Recording (Other Than Comedy),Individual,The Story-Teller: A Session With Charles Laughton,The Story-Teller: A Session With Charles Laughton
5,Best Engineering Contribution - Other Than Novelty And Other Than Classical,Individual,Hatari,Hatari
5,Best Engineering Contribution - Novelty,Individual,"The Civil War, Vol. I","The Civil War, Vol. I"
5,Best Recording For Children,Individual,Saint-Saens: Carnival Of The Animals/Britten: Young Person's Guide To The Orchestra,Saint-Saens: Carnival Of The Animals/Britten: Young Person's Guide To The Orchestra
5,Best Rock & Roll Recording,Individual,Alley Cat,Alley Cat
5,Best Country & Western Recording,Individual,Funny Way Of Laughin',Funny Way Of Laughin'
5,Best Rhythm & Blues Recording,Individual,I Can't Stop Loving You,I Can't Stop Loving You
5,Best Folk Recording,Individual,If I Had A Hammer,If I Had A Hammer
5,Best Gospel Or Other Religious Recording,Individual,Great Songs Of Love And Faith,Great Songs Of Love And Faith
5,Best New Artist Of 1962,Individual,Robert Goulet,Robert Goulet
6,Record Of The Year,Work,Days Of Wine And Roses,Henry Mancini
6,Album Of The Year (Other Than Classical),Work,The Barbra Streisand Album,Barbra Streisand
6,Classical Album Of The Year,Individual,Britten: War Requiem,Britten: War Requiem
6,Song Of The Year,Work,Days Of Wine And Roses,Henry Mancini
6,Best Instrumental Theme,Individual,More - Theme From Mondo Cane,More - Theme From Mondo Cane
6,"Best Vocal Performance, Female",Work,The Barbra Streisand Album,Barbra Streisand
6,"Best Vocal Performance, Male",Individual,Wives And Lovers,Wives And Lovers
6,Best Instrumental Jazz Performance - Soloist Or Small Group,Individual,Conversations With Myself,Conversations With Myself
6,Best Instrumental Jazz Performance - Large Group,Individual,"Encore: Woody Herman, 1963","Encore: Woody Herman, 1963"
6,Best Original Jazz Composition,Individual,Gravy Waltz,Gravy Waltz
6,Best Performance By An Orchestra - For Dancing,Individual,This Time By Basie! Hits Of The 50's And 60's,This Time By Basie! Hits Of The 50's And 60's
6,Best Performance By An Orchestra Or Instrumentalist With Orchestra - Primarily Not Jazz Or For Dancing,Individual,Java,Java
6,Best Instrumental Arrangement,Individual,I Can't Stop Loving You,I Can't Stop Loving You
6,Best Background Arrangement (Behind vocalist or instrumentalist),Work,Days Of Wine And Roses,Henry Mancini
6,Best Performance By A Vocal Group,Individual,Blowin' In The Wind,Blowin' In The Wind
6,Best Performance By A Chorus,Individual,Bach's Greatest Hits,Bach's Greatest Hits
6,Best Original Score From A Motion Picture Or Television Show,Individual,Tom Jones,Tom Jones
6,Best Score From An Original Cast Show Album,Individual,She Loves Me,She Loves Me
6,Best Classical Performance - Orchestra,Individual,Bartók: Concerto For Orchestra,Bartók: Concerto For Orchestra
6,Best Classical Performance - Chamber Music,Individual,Evening Of Elizabethan Music,Evening Of Elizabethan Music
6,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),Individual,Tchaikovsky: Piano Concerto No. 1 In B Flat Minor,Tchaikovsky: Piano Concerto No. 1 In B Flat Minor
6,Best Classical Performance - Instrumental Soloist Or Duo (Without Orchestra),Work,The Sound Of Horowitz,Vladimir Horowitz
6,Best Opera Recording,Individual,Puccini: Madama Butterfly,Puccini: Madama Butterfly
6,Best Classical Performance - Choral (Other Than Opera),Individual,Britten: War Requiem,Britten: War Requiem
6,Best Classical Performance - Vocal Soloist (With Or Without Orchestra),Individual,Great Scenes From Gershwin's Porgy And Bess,Great Scenes From Gershwin's Porgy And Bess
6,Best Classical Composition By A Contemporary Composer,Individual,Britten: War Requiem,Britten: War Requiem
6,Best Engineered Recording - Classical,Individual,Puccini: Madama Butterfly,Puccini: Madama Butterfly
6,Best Album Cover - Classical,Individual,Puccini: Madama Butterfly,Puccini: Madama Butterfly
6,Best Album Cover - Other Than Classical,Individual,The Barbra Streisand Album,The Barbra Streisand Album
6,Most Promising New Classical Recording Artist,Individual,"Liszt: Concerto No. 1 For Piano & Orchestra (Bernstein, cond.; N.Y. Philharmonic)","Liszt: Concerto No. 1 For Piano & Orchestra (Bernstein, cond.; N.Y. Philharmonic)"
6,Best Comedy Performance,Individual,"Hello Mudduh, Hello Faddah","Hello Mudduh, Hello Faddah"
6,"Best Documentary, Spoken Word Or Drama Recording (Other Than Comedy)",Individual,Who's Afraid Of Virginia Woolf?,Who's Afraid Of Virginia Woolf?
6,Best Engineered Recording - Other Than Classical,Individual,Charade,Charade
6,Best Engineered Recording - Special Or Novel Effects,Individual,"The Civil War, Vol. II","The Civil War, Vol. II"
