objectid,objectid_1,input_fid,near_fid,distance,distmet,distmiles,from_county,fromschoolnum,fromschool,fromlat,fromlon,tocounty,toschoolnum,toschoolname,tolat,tolon,tsid,fsid,tcoid,fcoid,copairid,from_lat_lon,to_lat_lon,drive_time,commute_dist
486879,486879,967,1694,0.41070938,45645.832,28.362995,LEE,771,DIPLOMAT ELEMENTARY SCHOOL,26.685244,-81.949173,SARASOTA,1241,ATWATER ELEMENTARY,27.064596,-82.106567,1686,839,52,33,276,26.685244+-81.949173,27.064596+-82.106567,44.03333333333333,35.603947944007
928293,928293,1694,967,0.41070938,45645.832,28.362995,SARASOTA,1241,ATWATER ELEMENTARY,27.064596,-82.106567,LEE,771,DIPLOMAT ELEMENTARY SCHOOL,26.685244,-81.949173,805,1704,33,52,276,27.064596+-82.106567,26.685244+-81.949173,41.733333333333334,34.666920186113096
928292,928292,1694,968,0.41581684,46213.469,28.715708,SARASOTA,1241,ATWATER ELEMENTARY,27.064596,-82.106567,LEE,791,DR CARRIE D ROBINSON LITTLETON ELEMENTARY,26.695644,-81.914795,806,1704,33,52,276,27.064596+-82.106567,26.695644+-81.914795,39.56666666666667,32.81088443490018
932129,932129,1701,990,0.42572099,47314.207,29.399675,SARASOTA,121,ENGLEWOOD ELEMENTARY SCHOOL,26.96497,-82.358154,LEE,341,PINE ISLAND ELEMENTARY SCHOOL,26.61651,-82.113586,828,1688,33,52,276,26.96497+-82.358154,26.61651+-82.113586,77.21666666666667,53.10424620217927
494688,494688,990,1701,0.42572099,47314.207,29.399675,LEE,341,PINE ISLAND ELEMENTARY SCHOOL,26.61651,-82.113586,SARASOTA,121,ENGLEWOOD ELEMENTARY SCHOOL,26.96497,-82.358154,1693,814,52,33,276,26.61651+-82.113586,26.96497+-82.358154,80.21666666666667,53.99529249184761
503688,503688,1034,1012,0.48358586,53745.25,33.395741,MADISON,91,GREENVILLE ELEMENTARY SCHOOL,30.458242,-83.639725,LEON,491,CHAIRES ELEMENTARY SCHOOL,30.435654,-84.12278,850,872,34,36,277,30.458242+-83.639725,30.435654+-84.12278,36.96666666666667,35.03663604549431
500068,500068,1012,1034,0.48358586,53745.25,33.395741,LEON,491,CHAIRES ELEMENTARY SCHOOL,30.435654,-84.12278,MADISON,91,GREENVILLE ELEMENTARY SCHOOL,30.458242,-83.639725,872,858,36,34,277,30.435654+-84.12278,30.458242+-83.639725,36.95,34.970149327924915
501432,501432,1029,1034,0.57239413,63615.309,39.528709,LEON,421,W T MOORE ELEMENTARY SCHOOL,30.474646,-84.211884,MADISON,91,GREENVILLE ELEMENTARY SCHOOL,30.458242,-83.639725,872,854,36,34,277,30.474646+-84.211884,30.458242+-83.639725,38.583333333333336,39.22281376759723
503675,503675,1034,1029,0.57239413,63615.309,39.528709,MADISON,91,GREENVILLE ELEMENTARY SCHOOL,30.458242,-83.639725,LEON,421,W T MOORE ELEMENTARY SCHOOL,30.474646,-84.211884,867,872,34,36,277,30.458242+-83.639725,30.474646+-84.211884,39.25,39.4819255547602
503692,503692,1034,1007,0.57817185,64257.438,39.927708,MADISON,91,GREENVILLE ELEMENTARY SCHOOL,30.458242,-83.639725,LEON,441,APALACHEE ELEMENTARY SCHOOL,30.439842,-84.217606,845,872,34,36,277,30.458242+-83.639725,30.439842+-84.217606,44.96666666666667,41.815174381611385
500041,500041,1012,1772,0.62977755,69992.844,43.491524,LEON,491,CHAIRES ELEMENTARY SCHOOL,30.435654,-84.12278,TAYLOR,51,TAYLOR COUNTY PRE-K,30.121204,-83.577126,1803,858,58,34,278,30.435654+-84.12278,30.121204+-83.577126,45.666666666666664,43.65878270897956
977702,977702,1770,1012,0.63475347,70545.867,43.835155,TAYLOR,141,PERRY PRIMARY SCHOOL,30.123398,-83.570145,LEON,491,CHAIRES ELEMENTARY SCHOOL,30.435654,-84.12278,850,1803,34,58,278,30.123398+-83.570145,30.435654+-84.12278,45.56666666666667,43.98438121371192
500043,500043,1012,1770,0.63475347,70545.867,43.835155,LEON,491,CHAIRES ELEMENTARY SCHOOL,30.435654,-84.12278,TAYLOR,141,PERRY PRIMARY SCHOOL,30.123398,-83.570145,1801,858,58,34,278,30.435654+-84.12278,30.123398+-83.570145,45.6,43.94523482860097
499889,499889,1010,1772,0.69294637,77013.367,47.85387,LEON,521,BUCK LAKE ELEMENTARY SCHOOL,30.46084,-84.181129,TAYLOR,51,TAYLOR COUNTY PRE-K,30.121204,-83.577126,1803,861,58,34,278,30.46084+-84.181129,30.121204+-83.577126,54.916666666666664,49.31761015668496
977907,977907,1772,1017,0.70910496,78809.219,48.969761,TAYLOR,51,TAYLOR COUNTY PRE-K,30.121204,-83.577126,LEON,1202,J MICHAEL CONLEY ELEM SCHOOL AT SOUTHWOOD,30.413073,-84.223381,855,1802,34,58,278,30.121204+-83.577126,30.413073+-84.223381,53.56666666666667,49.79171637636205
500759,500759,1021,1828,0.14501317,16116.619,10.0144,LEON,171,OAK RIDGE ELEMENTARY SCHOOL,30.383823,-84.28421,WAKULLA,15,RIVERSINK ELEMENTARY SCHOOL,30.257444,-84.355324,1859,849,61,34,279,30.383823+-84.28421,30.257444+-84.355324,15.683333333333334,10.827393024735544
1011276,1011276,1828,1021,0.14501317,16116.619,10.0144,WAKULLA,15,RIVERSINK ELEMENTARY SCHOOL,30.257444,-84.355324,LEON,171,OAK RIDGE ELEMENTARY SCHOOL,30.383823,-84.28421,859,1856,34,61,279,30.257444+-84.355324,30.383823+-84.28421,16.283333333333335,10.999512844985286
500846,500846,1022,1828,0.16822582,18696.449,11.617432,LEON,311,PINEVIEW ELEMENTARY SCHOOL,30.417479,-84.303467,WAKULLA,15,RIVERSINK ELEMENTARY SCHOOL,30.257444,-84.355324,1859,851,61,34,279,30.417479+-84.303467,30.257444+-84.355324,20.4,14.165399069434502
1011272,1011272,1828,1026,0.17001352,18895.133,11.740887,WAKULLA,15,RIVERSINK ELEMENTARY SCHOOL,30.257444,-84.355324,LEON,71,SABAL PALM ELEMENTARY SCHOOL,30.426167,-84.334412,864,1856,34,61,279,30.257444+-84.355324,30.426167+-84.334412,23.066666666666666,16.53841565258888
501170,501170,1026,1828,0.17001352,18895.133,11.740887,LEON,71,SABAL PALM ELEMENTARY SCHOOL,30.426167,-84.334412,WAKULLA,15,RIVERSINK ELEMENTARY SCHOOL,30.257444,-84.355324,1859,847,61,34,279,30.426167+-84.334412,30.257444+-84.355324,24.316666666666666,16.452666428060127
503391,503391,1033,1097,0.24635647,27379.813,17.013021,LEVY,231,WILLISTON ELEMENTARY SCHOOL,29.376045,-82.446136,MARION,162,REDDICK-COLLIER ELEM. SCHOOL,29.367847,-82.199921,935,869,38,35,280,29.376045+-82.446136,29.367847+-82.199921,20.066666666666666,15.513153185397279
502685,502685,1032,1097,0.25233111,28043.826,17.425621,LEVY,92,JOYCE M. BULLOCK ELEM. SCHOOL,29.38599,-82.451599,MARION,162,REDDICK-COLLIER ELEM. SCHOOL,29.367847,-82.199921,935,868,38,35,280,29.38599+-82.451599,29.367847+-82.199921,20.616666666666667,16.2724687823113
503351,503351,1033,1086,0.27208683,30239.459,18.789923,LEVY,231,WILLISTON ELEMENTARY SCHOOL,29.376045,-82.446136,MARION,211,FESSENDEN ELEMENTARY SCHOOL,29.27973,-82.191673,924,869,38,35,280,29.376045+-82.446136,29.27973+-82.191673,28.083333333333332,20.867508748906385
535391,535391,1086,1033,0.27208683,30239.459,18.789923,MARION,211,FESSENDEN ELEMENTARY SCHOOL,29.27973,-82.191673,LEVY,231,WILLISTON ELEMENTARY SCHOOL,29.376045,-82.446136,871,919,35,38,280,29.27973+-82.191673,29.376045+-82.446136,28.466666666666665,21.229146782788515
535392,535392,1086,1032,0.28080818,31208.74,19.392206,MARION,211,FESSENDEN ELEMENTARY SCHOOL,29.27973,-82.191673,LEVY,92,JOYCE M. BULLOCK ELEM. SCHOOL,29.38599,-82.451599,870,919,35,38,280,29.27973+-82.191673,29.38599+-82.451599,29.833333333333332,21.990326493279248
502729,502729,1032,1632,0.48603958,54017.953,33.565189,LEVY,92,JOYCE M. BULLOCK ELEM. SCHOOL,29.38599,-82.451599,PUTNAM,341,OCHWILLA ELEMENTARY SCHOOL,29.629139,-82.030746,1663,868,50,35,281,29.38599+-82.451599,29.629139+-82.030746,47.55,38.287650123280045
905021,905021,1632,1032,0.48603958,54017.953,33.565189,PUTNAM,341,OCHWILLA ELEMENTARY SCHOOL,29.629139,-82.030746,LEVY,92,JOYCE M. BULLOCK ELEM. SCHOOL,29.38599,-82.451599,870,1664,35,50,281,29.629139+-82.030746,29.38599+-82.451599,47.333333333333336,39.07306331026803
503435,503435,1033,1632,0.48642051,54060.289,33.591496,LEVY,231,WILLISTON ELEMENTARY SCHOOL,29.376045,-82.446136,PUTNAM,341,OCHWILLA ELEMENTARY SCHOOL,29.629139,-82.030746,1663,869,50,35,281,29.376045+-82.446136,29.629139+-82.030746,49.21666666666667,40.24559075001988
905020,905020,1632,1033,0.48642051,54060.289,33.591496,PUTNAM,341,OCHWILLA ELEMENTARY SCHOOL,29.629139,-82.030746,LEVY,231,WILLISTON ELEMENTARY SCHOOL,29.376045,-82.446136,871,1664,35,50,281,29.629139+-82.030746,29.376045+-82.446136,47.35,39.79882486280124
502730,502730,1032,1630,0.52119166,57924.723,35.992741,LEVY,92,JOYCE M. BULLOCK ELEM. SCHOOL,29.38599,-82.451599,PUTNAM,121,MELROSE ELEMENTARY SCHOOL,29.709049,-82.04261,1661,868,50,35,281,29.38599+-82.451599,29.709049+-82.04261,53.31666666666667,44.06143124154935
503274,503274,1033,1765,0.6595605,73302.898,45.548294,LEVY,231,WILLISTON ELEMENTARY SCHOOL,29.376045,-82.446136,SUMTER,102,WILDWOOD ELEMENTARY SCHOOL,28.857233,-82.038887,1796,869,56,35,282,29.376045+-82.446136,28.857233+-82.038887,52.166666666666664,49.14300485166627
976417,976417,1765,1033,0.6595605,73302.898,45.548294,SUMTER,102,WILDWOOD ELEMENTARY SCHOOL,28.857233,-82.038887,LEVY,231,WILLISTON ELEMENTARY SCHOOL,29.376045,-82.446136,871,1795,35,56,282,28.857233+-82.038887,29.376045+-82.446136,51.38333333333333,51.04440069991251
