profid,quality,would_take_again,difficulty,accessible,amazing_lectures,pop_quizzes,caring,clear_grading,extra_credit,lots_readings,good_feedback,graded_few_things,group_projects,hilarious,inspirational,lectures_heavy,lots_homework,participation_matters,respected,cant_skip_class,many_papers,test_heavy,tough_grader
147,1.5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,1.5,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,2,NA,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
150,4.1,50,2.7,4,3,0,9,6,11,0,6,0,0,0,1,5,30,1,3,12,5,4,29
151,4.1,NA,2.3,0,0,0,0,3,0,1,1,0,0,0,0,1,2,0,1,0,0,0,1
152,1.5,NA,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,4.9,NA,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,5,NA,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
156,4.4,75,2.3,4,3,0,12,10,16,0,3,1,0,0,2,0,6,2,18,4,0,2,4
157,4.2,71,2.6,3,7,0,0,6,7,0,2,2,0,0,0,0,10,1,1,9,0,3,8
158,4.7,100,1.7,4,44,0,26,17,12,0,39,4,1,15,68,0,0,31,45,8,0,0,3
159,3,33,3.3,2,0,0,3,0,0,1,1,0,1,3,0,1,4,4,0,4,0,0,1
160,4.8,100,1.5,0,4,2,14,6,9,0,6,0,0,12,2,0,5,0,7,5,0,0,1
161,4.8,100,1.6,1,0,0,12,1,0,0,7,0,0,2,5,0,1,0,4,0,0,0,1
162,3.6,NA,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,3.8,79,3.4,4,3,3,5,1,0,1,5,1,0,2,1,0,9,3,2,13,0,1,5
164,4.2,87,2.2,3,1,0,6,14,10,0,7,1,0,0,1,1,10,2,4,3,0,1,0
165,4.2,75,2.6,2,0,0,3,5,2,0,5,0,0,4,3,0,5,1,4,7,0,0,2
166,1.7,NA,4.2,0,0,0,0,0,0,0,0,1,0,0,0,6,5,2,0,11,0,0,12
167,4.7,NA,1.6,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,2,2,0,0,1
168,4,86,2.8,9,4,0,22,5,13,0,16,0,1,6,6,3,15,2,9,14,1,2,6
169,4,86,2.8,9,4,0,22,5,13,0,16,0,1,6,6,3,15,2,9,14,1,2,6
170,3.6,79,2.9,4,7,1,15,5,6,0,7,1,0,0,6,9,2,0,9,9,0,4,11
171,3.4,NA,3.1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,3,5
172,4,84,4,5,14,1,16,1,1,0,8,1,2,13,26,2,0,9,21,6,0,5,4
173,3.8,NA,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,4.4,83,1.7,0,0,0,13,4,0,1,5,0,0,4,2,1,0,1,8,1,0,0,1
175,4.7,NA,1.7,1,3,0,3,2,3,1,3,0,0,2,0,0,0,0,1,1,0,0,0
176,3.5,63,3,3,1,0,3,4,1,0,3,2,0,3,0,4,3,1,4,13,0,5,6
177,4,NA,2.3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
178,2.6,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,3.4,NA,2.9,0,0,0,1,1,0,0,1,0,0,0,1,0,2,0,0,1,0,1,1
180,2.8,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,4.1,NA,2.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1
182,4.8,NA,1.5,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0
183,4.9,NA,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,3.2,NA,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,3.1,NA,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
186,3.6,NA,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,5,NA,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
188,4.7,NA,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,4.7,93,2.4,1,2,0,9,7,9,0,1,1,0,0,2,1,0,1,2,1,0,1,1
190,5,NA,1.7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
191,4.2,NA,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,4.2,NA,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,4,NA,3,0,0,0,3,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,2
194,1.5,NA,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,3.1,NA,3.4,0,0,0,2,0,2,0,3,0,0,0,0,0,5,0,2,5,0,0,2
196,3.8,NA,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,4,NA,2.5,1,0,0,2,1,2,0,1,0,0,1,2,3,4,1,1,1,0,0,2
198,4.9,NA,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,1.9,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,4.7,83,3.1,0,1,0,2,1,1,0,2,0,0,2,0,0,2,2,2,2,0,1,1
201,3.9,71,2.6,2,1,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
202,4.6,86,2.1,1,0,0,1,1,4,0,2,1,0,3,0,0,0,1,2,1,0,0,0
203,4.8,100,2.9,0,3,0,5,1,2,0,1,0,0,0,0,1,0,0,3,0,1,0,1
204,5,NA,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,4.1,NA,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,4.7,NA,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,1,NA,5,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2
208,3.3,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,3.3,NA,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,5,NA,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,5,NA,1.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
212,4.8,NA,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,3.3,NA,1.5,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
214,4.5,NA,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,1,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,3.5,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,5,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,4.5,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,5,NA,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,2.1,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,1,2,4
222,4.9,NA,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,4.5,83,2.2,0,6,0,14,1,1,0,14,0,2,1,11,0,3,2,10,2,0,0,0
224,4.6,100,2.2,1,3,0,8,8,6,0,3,4,0,4,4,0,1,2,5,1,0,0,0
225,4.7,NA,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,4.2,83,1.8,1,1,1,1,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0
227,2.8,NA,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,3.6,NA,3.2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,3
229,4,100,1.8,0,1,0,3,1,2,0,2,0,0,1,2,0,2,0,2,0,0,0,1
230,1.3,NA,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
231,4.9,100,2.4,1,4,0,4,1,2,0,1,0,0,1,0,0,3,1,4,0,0,0,0
232,4.4,NA,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,4.8,NA,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,2.1,NA,4.5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,1
235,3,NA,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,1,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,4,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,4.2,NA,2.2,0,1,0,3,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0
239,3,NA,3.7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
240,5,NA,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,1.5,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,3.5,NA,2.3,1,0,0,3,2,0,0,4,2,0,0,1,1,1,0,0,2,0,1,1
243,4.5,90,2,5,3,0,19,24,7,0,5,3,0,5,4,1,15,10,14,31,0,2,4
244,3.8,64,3.4,2,10,0,5,9,9,2,2,4,0,3,2,9,18,0,7,10,0,6,40
245,4.7,85,2.2,0,19,0,6,17,2,0,3,2,0,4,8,2,2,2,20,20,0,2,7
246,3.8,NA,2.5,0,0,0,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
247,3,NA,3.4,1,3,0,3,0,2,0,2,1,0,0,0,1,0,0,2,1,0,1,5
248,2.3,NA,3.4,0,0,5,1,0,0,0,0,1,0,1,0,0,12,3,0,8,0,1,8
249,3.5,63,3,3,1,0,3,4,1,0,3,2,0,3,0,4,3,1,4,13,0,5,6
250,4.7,91,2.8,0,9,0,8,9,4,0,8,0,0,15,1,0,1,4,7,11,0,1,1
251,4.4,88,1.8,1,6,0,5,3,3,0,2,1,0,3,9,0,0,2,2,2,0,0,2
252,3.3,NA,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,4,NA,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,4,NA,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,4.7,NA,1.8,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0
256,5,100,2.9,1,6,0,11,2,0,0,6,0,0,5,7,0,1,1,7,2,0,0,0
257,3.3,NA,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,5,NA,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,4,NA,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
260,4.2,100,2.5,0,0,4,2,4,0,0,4,1,0,0,1,1,3,0,3,3,0,0,0
